Subject Number,Gender,Nice_Mean,Test Date,Age,Age Category,Ethnicity,Usable_Final_Sally,Exclusion_Criteria_Sally,Where will Sally look?,Where does Sally think her ball is?,Should Anne and Sally be friends?,Is Anne a nice girl or not a nice girl,Is Sally a nice girl or not a nice girl?,Order of think and look asked,1: look asked first; 2: think asked first 
1143,M,Nice,8/9/13,4.312705367,four,Br,0,training,Closet,Basket,Yes,Nice,Mean,Look 1st asked,1
1144,F,Mean,8/10/13,3.559206023,three,Mix as wh,1,,Closet,Basket,Yes,Mean,Nice,Look 1st asked,1
1145,M,Nice,8/10/13,4.164841183,four,Korean,0,language issues,Basket,Basket,Yes,Nice,Mean,Look 1st asked,1
1146,F,Mean,8/10/13,4.200438116,four,Wh,1,,Closet,Basket,Yes,Mean,Nice,Look 1st asked,1
1147,M,Mean,8/10/13,4.285323111,four,Mix,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1148,M,Nice,8/10/13,3.247091034,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1149,M,Nice,8/10/13,3.929353779,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1150,M,Nice,8/10/13,3.195071869,three,Wh,0,did not do the task,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1151,F,Nice,8/10/13,2.934976044,younger,Wh,0,was too young,Basket,Basket,Yes,Nice,Nice,Look 1st asked,1
1152,M,Nice,8/10/13,4.208652793,four,As,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1153,M,Nice,8/11/13,3.394934976,three,As,0,training,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1154,M,Nice,8/11/13,4.227820372,four,Mix: as/Wh ,1,,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1155,M,Mean,8/12/13,3.047227926,three,Wh,0,training,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1156,F,,,,younger,,0,was too young,,,,,,,
1157,F,Nice,8/13/13,6.107547908,older,Mix,0,was too old,Basket,Basket,No,Nice,Nice,Look 1st asked,1
